Num,Word,C2,C1,C,C-1,Length,count
14,goo,I' m led to believe that you' re an extension of my personality.,"- Yes, I' m the alter- ego man.","- And I' m the ego man, goo goo, g' joob.",I' m glad you asked me that.,3,3878783
15,whoop,It' s the Fairy Godmother!,"Hello, Far, Far Away!",Can I get a whoop whoop?,May all your endings be happy and...,5,331753
16,whoop,It' s the Fairy Godmother!,"Hello, Far, Far Away!",Can I get a whoop whoop?,May all your endings be happy and...,5,331753
17,here,"Where, ""here""?",The ground?,Here here.,In the building.,4,639711198
18,montgomery,And it did so with two musical notes.,Hello.,I am looking for Dr. Montgomery Montgomery.,I am Stephano.,10,10230206
19,nothing,Nothing in the world will keep The count from his beloved bride,Nothing in the world Nothing in the world,Nothing Nothing,What a marvelous day for a marriage.,7,73183983
20,montgomery,And it did so with two musical notes.,Hello.,I am looking for Dr. Montgomery Montgomery.,I am Stephano.,10,10230206
21,nothing,Nothing in the world will keep The count from his beloved bride,Nothing in the world Nothing in the world,Nothing Nothing,What a marvelous day for a marriage.,7,73183983
22,laba,"Paralyzed, like stone, for two days.",- What do you call this fella?,- Laba laba batu.,Stone spider.,4,39052
23,mat,We gots to get paid.,"And on that note, we cue the music.",- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,3,9937738
24,mat,"And on that note, we cue the music.",- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,3,9937738
25,mat,- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,"- Mat mat meal - Ma ma ma, ma ma- ma ma",3,9937738
26,mat,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,"- Mat mat meal - Ma ma ma, ma ma- ma ma",Well...,3,9937738
27,shoop,La da da da da da,"He really is high, man",Shoop shoop shooby doo wah,Get jiggy with it,5,142537
28,mat,We gots to get paid.,"And on that note, we cue the music.",- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,3,9937738
29,mat,"And on that note, we cue the music.",- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,3,9937738
30,mat,- Mat mat mat - L- L- lum,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,"- Mat mat meal - Ma ma ma, ma ma- ma ma",3,9937738
31,mat,- Mat mat mat - Lip la,- Mat mat mat - L- L- lum,"- Mat mat meal - Ma ma ma, ma ma- ma ma",Well...,3,9937738
32,shoop,"Are you really high now, man?","La da da da da da he really is high, man",Shoop shoop shooby doo wah,Getjiggy with it,5,142537
33,thing,<i>[ Thing OneJabbering] </ i>,"Thing One says he' s Thing One for a reason, and some people should just get used to it.",It' s a Thing thing.,You wouldn' t understand.,5,97451660
34,really,"I' d like to sing, a song for you.","Ok, I' il restart again.","I love her, I really really love her.","Make me smile, all the time.",6,162033390
35,now,I won' t!,I won' t.,"Now now, calm down.",Listen to Uncle Michael.,3,611387736
36,mirror,I' il help you,"Complete the spell, my sweet new prince..",Mirror mirror on the wall..,Say it,6,21539161
37,anytime,"As a consolation, I never believed in you either","See, you' re brothers",You' re welcome here anytime Anytime at all,Cos this is your home,7,16192486
38,then,- We must do something. - nothing will become.,"At moments thus, the Magical world he hopes that their leaders are strong.","- Then then, demuéstralo. - the Match is not going away to cancel.",I will not stay as a cowardly one.,4,369928941
39,miss,Sorry,Do you know who I am?,"Miss Miss Phoenix Black, I' m sorry",Do you know how often I shop here...,4,39897915
40,later,I just have to be patient,Excuse me a sec,See you later Later,David?,5,84857974
41,shimmy,The swelling should help them fit better.,"Hey, get a load of this guy.",Shimmy shimmy.,"Hey, hey, hey.",6,188186
42,kitty,"Power, my boy, means never having to say you' re sorry.","Here, kitty kitty kitty.","Come here, kitty kitty.",Yes.,5,6414935
43,really,- ls that a shark?,It is a shark.,They' re really really mad at us.,They thought that this river was the ocean.,6,162033390
44,really,I don' t want to ruin my diet.,"It' s cold in the supermarket, and you like it like that.","People always read the labels of their favourite brands really really carefully just to see how many chemicals they have, and then they just sigh and they put them in their cartanyway,","like they' re saying sure it' s bad for me, it' s bad for my family but we like it.",6,162033390
45,love,I' m black.,I want to watch Love Connection.,I love Love Connection.,I love that man on there.,4,201063526
46,love,That' s Arsenio.,So?,"You love Love Connection, send your picture in there.",She did.,4,201063526
48,gene,MAN:,Wloo:,"That means... it' s Gene Gene, the Dancing Machine... and just in time:",[Gene' s dancing music plays],4,34266155
49,ool,# All oven #,# Tlis land #,# Ool ool ool #,# If I lad a bell #,3,268518
50,very,I don' t know what he was thinking.,He jumped exactly when the water was receding and he hit his neck against the sand,It' s is very very sad.,God wants him to keep on living.,4,334923368
51,very,I don' t know what he was thinking.,He jumped exactly when the water was receding and he hit his neck against the sand,This is very very sad.,God wants him to keep on living.,4,334923368
52,wait,What if I told you that...,that you give me strength to live Ramon,Wait wait.,Stop this thing for a moment,4,39001376
53,wait,What if I told you that...,that you give me strength to live Ramon,Wait wait.,Stop this thing for a moment,4,39001376
54,big,Based on the true story,I always wanted to be in the movies,"When I was Iittle I thought for sure 1 day, I could be a big big star...",Or maybe just beautiful...,3,216690546
55,far,I don' t know... if can forgive myself for...,"I' II come back to you, I' II come back","I mean, we come back here and we go far far away",Go,3,93061804
56,big,Based on the true story,I always wanted to be in the movies,"When I was Iittle I thought for sure 1 day, I could be a big big star...",Or maybe just beautiful...,3,216690546
57,far,I don' t know... if can forgive myself for...,"I' II come back to you, I' II come back","I mean, we come back here and we go far far away",Go,3,93061804
58,big,Based on the true story,I always wanted to be in the movies,"When I was Iittle I thought for sure 1 day, I could be a big big star...",Or maybe just beautiful...,3,216690546
59,far,I don' t know... if can forgive myself for...,"I' II come back to you, I' II come back","I mean, we come back here and we go far far away",Go,3,93061804
60,yum,They' re out of sight.,I' m into comics myself.,Big Yum Yum Book.,I' d never seen anything like it.,3,2362952
61,yum,I' m into comics myself.,So Crumb showed me this comic book novel he was working on.,Big Yum Yum Book.,I' d never seen anything like it.,3,2362952
62,back,"Yeah I er, I went for a run.",You smell like you ran far.,"Well I showered, I mean I guess I didn' t cool, I wanted to get back back down here and check on you, it was a Tour de Stad.",What?,4,488024109
63,very,W at that time was just starting out in the world as a business man.,"Because he' s a guy who¡ ¯s always tried to emulate his father, uh, he decided to go into the oil business.","He founded an oil company, a drilling company, out of west Texas called Arbusto, which was very very good at drilling dry holes that nothing came out of.",But the question has always been where did this money come from?,4,334923368
64,very,"It' s like training a dog; ya tell him to sit down or ya tell him to roll over at the same time, the dog doesn' t know what to do.",Well the American people are being treated like that.,"It was really very very skillfully and, and ugly in what they did.",We must stop the terror.,4,334923368
65,very,"That' s the case, for example with Microsoft.",So no wonder the support is so bad.,"The benefits of Free Software were tremendous but the cost of supporting it internally uh, and made managers very very nervous and so the fundamental idea I had was if we can build a model that could deliver two to four times the support and uh, and uh, and hand holding capability that an internal engineer could provide.",And we could do it at 1/ 2 to 1/ 4 of the cost that would meet the test of whether or not people would actually buy.,4,334923368
66,city,Right and so we had maps there and we handed them off everybody who was coming.,"Well, we actually met at a Denny' s That' s just outside the Foster City limits...","Foster City city limits, which meant also just outside of Foster City Police jurisdiction, which meant any, any incidents that happened at the meeting point happened in the jurisdiction of San Mateo, and if they told us they get lost, we' d say, ""Fine, we are going to Foster city.","Bye. """,4,390564835
67,very,"If you don' t share, you get thrown in jail or killed.","In 1990, we got a visit from a director of an institute in uh, Moscow University, and actually I saw him in Helsinki just 2 weeks ago, but in any event, he came by, and Richard Stallman had suggested that he visit Cygnus, because he was interested in and understanding how the Free Software model... might apply to stimulating entrepreneurial innovation in Russia of all places, and we had been kind of secretive about our business plan, because you know, we were' nt really sure it' s gonna work, we didn' t want to look too stupid if it failed.",But I was very very open with him.,"The more I told him, the more he started to shake his head like this, and I finally said, you know, ""What' s wrong?""",4,334923368
68,very,That' s the purest style and that' s the style that Joe and I had climbed Siula Grande.,"It' s a very committing way of climbing, because you have no line of retreat.","If something goes wrong, it can be very very serious.","There' s no rescue, there' s no helicopter rescue and there' s no other people.",4,334923368
69,very,And to put an element of risk back into it takes us out of the humdrum.,"In that sense, it makes you feel more alive.","I' ve never been that high before, and it' s very very strenuous to climb ice like that.","Not only is it technically difficult and unstable and frightening, but your heart is going like crazy because of the altitude.",4,334923368
70,very,"And I' d be looking and trying to push the thing in, and using my teeth, and getting it round, and getting it round.","My hands were cold, my feet were...",I was very very cold.,"It was a desperate position, made worse by the fact that that I had no idea what Joe was doing, or what position he was in.",4,334923368
71,very,I was pretty surprised to be alive.,"The head torch beam just went down, and down, and down, and the darkness just ate it, just gone.","I felt very unnerved, very very vulnerable.","If I had landed less than 1m further to the right,",4,334923368
72,very,I started to go down the glacier on my own.,In this stage I was still certain that I was gonna die myself.,"Crossing a glacier is very very dangerous on your own, because there are crevices in the ice, and the snow covers them.","Fortunately I managed to find a faint outline of our tracks, from when we walked in.",4,334923368
73,attack,I never felt angry at my dad.,My dad had nothing to do with this.,Someone knocks on the door and accuses you for a crime you didn' t commit you gotta attack attack your attackers and do what you can.,And that' s all it was.,6,35599513
74,fuck,Jesse' s gonna go to jail for the rest of his life.,Seth is gonna move west.,Fuck fuck.,I received a telephone call from jesse asking to see me and jesse told me that he wanted to plead guilty.,4,39099536
75,bent,I can' t... it' s bent.,It' s meant to be bent.,I know that but this one' s bent bent.,It' s bloody cold in here.,4,5070333
76,run,# FLANAGAN & ALLEN:,Run Rabbit Run,# Run run run,# Run rabbit run rabbit Run run run,3,117213565
77,run,Run Rabbit Run,# Run run run,# Run rabbit run rabbit Run run run,Shall we go back and kill him?,3,117213565
78,run,Cuthbertson! >,"Sorry, Sergeant.",# So run rabbit Run run run. #,You don' t have to tell me if you don' t want to.,3,117213565
79,tin,"Ren, Stimpy.",Stimpy?,Rin Tin Tin.,Dre:,3,10695557
80,tin,Rin Tin Tin.,Dre:,Rin Tin Tin...,Rin...,3,10695557
81,mmm,To hip- hop.,# Time after time #,# Mmm mmm... #,# Mmm mmm... #,3,1705485
82,mmm,# Time after time #,# Mmm mmm... #,# Mmm mmm... #,Wait.,3,1705485
83,sing,"Dr. Sobel, you received a call this morning from Paul Vitti.",Why would you say that I got a call from Paul Vitti?,Because we monitor all his phone calls from Sing Sing.,"Then, yes, I did.",4,11114001
84,sing,Okay...,"Based on his symptoms and his test results, I would call it brief psychotic disorder...... and if it persists, schizophreniform disorder.","And Dr. Kassam, the psychiatrist at Sing Sing, concurs with the diagnosis.",So he' s crazy.,4,11114001
85,sing,That' s what I wanted.,You told me I can' t.,You said it' s either here or Sing Sing.,"I' m not trying to punish you, but I do have some responsibilities.",4,11114001
86,sing,"I mean, what' s next?",Do you go on the run for the rest of your life?,Do you just go back to Sing Sing?,Or maybe they find you dead in an alley?,4,11114001
87,hip,Men!,We' re seaworthy again.,Hip hip hip...,- Hurrah.,3,26826008
88,hip,Hip hip hip...,- Hurrah.,Hip hip hip...,- Hurrah.,3,26826008
89,hip,Watch out!,"By Toutatis, I know he fell...... in a cauldron of magic potion...... but he' il never cease to amaze me.",Hip hip hip... hurrah...,- Stop it.,3,26826008
90,sing,"Dr. Sobel, you received a call this morning from Paul Vitti.",Why would you say that I got a call from Paul Vitti?,Because we monitor all his phone calls from Sing Sing.,"Then, yes, I did.",4,11114001
91,sing,Okay...,"Based on his symptoms and his test results, I would call it brief psychotic disorder...... and if it persists, schizophreniform disorder.","And Dr. Kassam, the psychiatrist at Sing Sing, concurs with the diagnosis.",- So he' s crazy.,4,11114001
92,sing,That' s what I wanted.,You told me I can' t.,You said it' s either here or Sing Sing.,"I' m not trying to punish you, but I do have some responsibilities.",4,11114001
93,sing,"I mean, what' s next?",Do you go on the run for the rest of your life?,Do you just go back to Sing Sing?,Or maybe they find you dead in an alley?,4,11114001
94,really,"Whenever I get a good idea, I write it down in my diary before it goes out of my head.",And you know what occurred to me?,"The other day... that... all the really really knock- out acts have something a little different going on, you know?","Like, a signature band.",6,162033390
95,maybe,"And I thought my thing could be.. ""aloof""... you know?",Give them just enough to get them good and hungry but always leave them wanting more.,"Once I get a name for myself, maybe maybe we can open up a club of our own, you know?","You could run it, and I could be the headliner.",5,51895609
96,omega,"I certainly hope so, Mr. Wilder.",I come to you in desperation.,"I' m Panos Patakos, president of the Lambda Omega Omega fraternity.",I' m sure you' re aware of our... stigma.,5,10289113
97,omega,- Okay.,Where the hell is everyone?,Mad props for this pimpin 'good time... go out to those hung and handsome bad boys... of Lambda Omega Omega.,"Thanks for the good time, fellas.",5,10289113
98,happy,"Yes, I understand it was a funeral.",I guess I goofed up.,"I can see how a happy happy- birthday basket...... might seem ironic and cruel, but it was an honest mistake.",It' s not that easy running a small- sized business out of a house...... especially this house!,5,63471922
99,hope,Your son is a born leader.,Those people out there are following him because they believe in him.,"They believe he can give them hope hope of a new life, a new world, a better future!",Who' s that?,4,74145758
100,very,"So it' s back,,, Whoa,,,","Harder than it looks, isn' t it, gentlemen?","Well, you' ve all done very very well for your first lesson,","And before you leave tonight,",4,334923368
101,very,Whoa...,"Harder than it looks, isn' t it, gentlemen?","Well, you' ve all done very very well for your first lesson.","And before you leave tonight,",4,334923368
102,temptation,"- Ooh, give me a breakdown - Temptation",- Because it' s time for a showdown - Temptation,"Temptation, Temptation Temptation","Oh, oh- oh- oh",10,2536564
103,digi,So find the feelin ',So find the feelin ',Bom Digi Digi Digi Bom Digi Bom,Lifestyle Letting Agency.,4,2425142
104,many,And I have to thank my husband,He gave me chance to act,We had rehearsed many many times,"So, this award is yours too",4,318966441
105,very,Whoa...,"Harder than it looks, isn' t it, gentlemen?","Well, you' ve all done very very well for your first lesson,","And before you leave tonight,",4,334923368
106,gold,What can stop that itchin ',Ain' t around the kitchen,"Gold, gold Gold, gold",Gold,4,107497778
107,circus,In fucking Vegas!,"Not on no side street, the motherfucker got shot on the Strip!",In front of Circus Circus!,Damn.,6,5377139
108,ray,Ooh!,"Hello, ma' am.",My name is Ray Ray and I' m here to... service you.,"I' m Sylvia, and I hit my head.",3,32113994
109,ray,"Sex addicts are everywhere, Sylvia, and pretty soon, Harford Road will be ours.","Oh, hey, hold on.",Ray Ray is a sexual healer.,"Come visit us, Sylvia.",3,32113994
110,ray,Taxi!,Taxi!,"Ray Ray' s service center, 6630 Harford Road.","Yes, ma' am.",3,32113994
111,ray,"What is she talking about, that bitch?",Hello?,Ray Ray?,"It' s me, Sylvia.",3,32113994
112,ray,Dirt worship' s been around long before my accident.,I just didn' t know.,Ray Ray has helped me understand my hypersexuality.,And he cured me of my herpes.,3,32113994
113,ray,"As you grow to embrace your concussion, you' il learn to accept anything sexual as long as it' s safe, consensual and doesn' t harm others.",You wanna powder my chafed butt?,"Uh, I would, but I' m supposed to help Ray Ray think up a new sex act.",Maybe later.,3,32113994
114,ray,I can...,I know you are and we' re gonna do something about that.,"Ray Ray is a sex saint,",- and he' s got powers.,3,32113994
115,ray,- Amen to that.,"I' ve got a hard- on of gold, and my tongue is on fire.","Oh, and I' ve got hot pants, Ray Ray.",We' re all in heat.,3,32113994
116,ray,Thank you for asking.,"Oh, my God!",You have met Ray Ray.,"Oh, Mother!",3,32113994
117,ray,I' m supposed to help them.,"It will pass, Sylvia.","No, there' s this guy named Ray Ray and he is their leader and he ate me out.",Ugh!,3,32113994
118,ray,Fucking tranquilizers.,It' s all right.,"Ray Ray is gonna be all better, right?",You betrayed me.,3,32113994
119,ray,Get out.,This is a Neuter establishment.,We don' t serve Ray Ray' s people here.,"Don' t get a breast reduction, Ursula.",3,32113994
120,ray,There is somebody for everybody.,- That means you!,- Ray Ray!,"Straight, gay or bi, there' s a new sex act just waiting for you.",3,32113994
121,ray,Ooh- oh!,"The big ""O.""","Do it for us one more time, Ray Ray.","Now, Ray Ray, now!",3,32113994
122,ray,"The big ""O.""","Do it for us one more time, Ray Ray.","Now, Ray Ray, now!",Now!,3,32113994
124,anything,"Julie, focus.",What do you want more than anything in this world?,Anything anything?,Ultimate anything.,8,75985266
125,plan,I don' t -- I don' t have a plan.,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,4,160746244
126,plan,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,You are too!,4,160746244
127,very,"Yeah... I was that good, as a child",So if you could stick around for a minute...,I' m pretty sure you could make the Iadies very very happy 1 slice of cake for her...,I can do that...,4,334923368
128,doo,You are on.,- I' m on right now?,I don' t believe you. - § Doo doo doo. § - Ron!,"Oh, come on.",3,4102101
129,alone,You' ve never been alone.,"On Christmas, it' s not like being alone.",It' s alone alone.,This wouldn' t be one of those lucid moments.,5,39326417
130,haw,It looks like Sally is going to catch her bell in favour of the president.,"I' m Christi, TBNN News","Haw haw... you baby, you going down!","So, what do you think?",3,740732
131,urt,I like 3 ¡3 isn' t healthy,What' s yielding you Yielding me?,"Yes, somehow you seem Urt Urt, Really?",- Really,3,165302
132,sally,"It' s brilliant, sir",Thank you and I get the girl.,"Sally Sally, right","Sally, hey, hi, I' m here",5,5933047
133,sing,Grandma Fung- Yu.,Yeah.,"And Sing Sing, XiXi' s mother.",All right.,4,11114001
134,sing,"And XiXi' s mama, sexy thing.",- Oh.,- Sing Sing.,Yeah.,4,11114001
135,thing,- Grandma Egg Foo Yong?,"Fung- Yu, dawg.","Sexy thing, Miss Thing Thing.",Sing Sing!,5,97451660
136,sing,"Fung- Yu, dawg.","Sexy thing, Miss Thing Thing.",Sing Sing!,[Muttering in Chinese],4,11114001
137,sing,Grandma Kung Fu.,Sexy Thing.,Sing Sing.,Sing Sing.,4,11114001
138,sing,Sexy Thing.,Sing Sing.,Sing Sing.,- Bling Bling.,4,11114001
139,sing,- All right.,Let' s eat.,"Sing Sing, these Peking duck feet is the shit!",You no like my cooking?,4,11114001
140,gus,"Just so you know, that' s incredibly hot.","Oh, I' m sorry.","Oh, hi, Gus Gus.",Gus Gus.,3,1795932
141,gus,"Oh, I' m sorry.","Oh, hi, Gus Gus.",Gus Gus.,So much of you they had to name you twice.,3,1795932
142,gus,You know what?,I' m tired of living my life just in theory.,- I think I' m gonna go talk to Gus Gus.,"- Oh, come on.",3,1795932
143,gunther,You can' t seriously be attracted to that walking...... Alp.,I don' t know.,"I can see myself in the mountains, raising children...... little Hans Hans and Gunther Gunther.","Anna, don' t.",7,585995
144,gus,"Okay, all right.",Because...... I' m jealous as hell.,I' d hate to see you with Gus Gus.,I' d hate to see you with another man.,3,1795932
145,plan,I don' t have a plan.,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,4,160746244
146,plan,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,You are too!,4,160746244
147,bright,Actually...,L think I did.,~ Gonna be a bright Bright sunshiny day,Whoo! ~ Gonna be a bright Bright sunshiny day,6,19446368
148,bright,L think I did.,[Tim] ~ Gonna be a bright Bright sunshiny day,Whoo! ~ Gonna be a bright Bright sunshiny day,- Timmy!,6,19446368
150,haw,It looks like Sally is going to catch her bell in favour of the president.,I' m Christi£¬TBNN News,"Haw haw... you baby, you going down!",So£¬what do you think?,3,740732
151,urt,I like 3£ ¡3 isn' t healthy,What' s yielding you£ ¿Yielding me?,"Yes, somehow you seem Urt Urt£¬Really?",- Really,3,165302
152,sally,"It' s brilliant, sir",Thank you and I get the girl.,Sally Sally£¬right,"Sally£¬hey, hi, I' m here",5,5933047
153,pum,Let' s follow it.,"# Come, they told me, # par um pa pa pa pum","# A new born King to see, # par um pa pum pum","No, Saint Maureen.",3,171373
155,gus,"Just so you know, that' s incredibly hot.","Oh, I' m sorry.","Oh, hi, Gus Gus.",Gus Gus.,3,1795932
156,gus,"Oh, I' m sorry.","Oh, hi, Gus Gus.",Gus Gus.,So much of you they had to name you twice.,3,1795932
157,gus,You know what?,L' m tired of living my life just in theory.,- I think I' m gonna go talk to Gus Gus.,"- Oh, come on.",3,1795932
158,gunther,You can' t seriously be attracted to that walking...... Alp.,L don' t know.,"L can see myself in the mountains, raising children...... little Hans Hans and Gunther Gunther.","Anna, don' t.",7,585995
159,gus,"Okay, all right.",Because...... l' m jealous as hell.,L' d hate to see you with Gus Gus.,L' d hate to see you with another man.,3,1795932
160,sing,Grandma Fung- Yu.,Yeah.,"And Sing Sing, XiXi' s mother.",All right.,4,11114001
161,sing,"And XiXi' s mama, sexy thing.",- Oh.,- Sing Sing.,Yeah.,4,11114001
162,thing,- Grandma Egg Foo Yong?,"Fung- Yu, dawg.","Sexy thing, Miss Thing Thing.",Sing Sing!,5,97451660
163,sing,"Fung- Yu, dawg.","Sexy thing, Miss Thing Thing.",Sing Sing!,- Bling Bling.,4,11114001
164,sing,Grandma Kung Fu.,Sexy Thing.,Sing Sing.,Sing Sing.,4,11114001
165,sing,Sexy Thing.,Sing Sing.,Sing Sing.,- Bling Bling.,4,11114001
166,sing,- All right.,Let' s eat.,"Sing Sing, these Peking duck feet is the shit!",You no like my cooking?,4,11114001
167,plan,I don' t have a plan.,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,4,160746244
168,plan,"Yes, you do!",You' re on the non- plan plan.,I am not on a non- plan plan!,You are too!,4,160746244
169,doo,- I' m on right now?,I don' t believe you. -?,Doo doo doo.?,- Ron!,3,4102101
170,anything,"Julie, focus.",What do you want more than anything in this world?,Anything anything?,Ultimate anything.,8,75985266
171,smack,Just when I oughta say nix,When a person tries to kiss a girl,I know she oughta give his face a smack Smack.,[Low <i>V</ i>oice],5,1451860
172,doo,- You are on.,- I' m on right now?,I don' t believe you. - # Doo doo doo. # - Ron!,"Oh, come on.",3,4102101
173,very,- Very.,Would you rather I continued as a watcher or a witness?,Very very.,"Now tell us why you did it, okay?",4,334923368
174,dirty,"I knew all along why your hair smells of poo but I kept quiet 'cause I thought you were different and that under your dirt, you deserved to be... clean.",But you' re like all of your tribe.,Dirty Dirty!,Wait!,5,16101662
175,dirty,I could have pok...,What' s Dungface doing here?,You called my daughter a dirty Dirty!,Nobody does that!,5,16101662
176,dirty,You called my daughter a dirty Dirty!,Nobody does that!,Nobody calls my girl a dirty Dirty.,Proud of yourself?,5,16101662
177,get,Yes.,"95 pound of Chinese finest manmade, with $160 millions behind this door.",Lets get get' em out.,Yeah.,3,605984508
178,there,how do you save the forest anyway? it' s not gonna be easy,"I assume the lumber companies have a lot of crowd but I do know a few endangered species living in the forest who definitely have lost the protective how am I gonna find how many endangered animals living in the forest you can ask Eugine we find the endangered species the females killed by the poachers it' s the only western Pacific bear at least one bear has to be protected, right?",let the lawyer of the logging company argue this since she is the only up there there' s no chance for survival anyway there had to be a male too so we get a male up there and let them together,let nature take its course the only male western Pacific bear we can find is raised in captivity never has a bear raised in captivity been successfully reintroduced to the wild they never have a world famous doctor make an introduction your man left the button open something wrong?,5,701170205
179,weird,hey Acher come over here,I think we can work it out what do I say to her? tell her a little more about yourself tell her a little more about yourself,I like walking on the beach and sharing pop corns with someone and also the sound of back street boys you' re weird weird?,Isn' t sexy,5,11556427
180,out,One day all the sources in town dried out.,In those days there lived a dragonking and a woman.,The let the sources drie out out of revenge.,Nobody dared fight the dragons... but Kao lang volunteered.,3,741601852
181,sing,"Crushed when he caught his wife cheating, he' s feeling older, he looks around and says ""Maybe it' s time I get mine.""",Guy named Peterson tried the same.,Now he' s a houseguest in Sing Sing.,I' m sure you know him better than I do.,4,11114001
182,hot,It' s a hot dog.,It' s a hot dog.,It' s a hot hot dog.,It' s a hot dog.,3,159287179
183,louie,(captain) Please put your seats to the upright position..... in preparation for our arrival in Puerto Vallarta.,"(""Louie Louie"" by The Kingsmen)",Louie Louie,"Oh, no",5,1252710
184,something,"Okay, maybe I wasn t allowed on the property, but that didn' t mean I couldn t keepan eye on her",And then she did something that sent me over the edge,I knew I had to do something something drastic to salvage what little I had left,I got the ten thousand.,9,131836210
185,squash,You bet!,Because I need a partner tomorrow at 5: 00.,"- Oh, squash squash!",- You know.,6,3985349
186,something,"Okay, maybe I wasn t allowed on the property, but that didn' t mean I couldn t keepan eye on her",And then she did something that sent me over the edge,I knew I had to do something something drastic to salvage what little I had left,I got the ten thousand.,9,131836210
187,woo,Bloody English wizards.,They cannot do anything right.,Woo woo.,"Ah, here we go.",3,2718146
188,woo,Woo woo.,"Ah, here we go.",Woo woo.,I like your chariot.,3,2718146
189,party,Will you?,Hm?,"Oh, you mean a party party?",Like for everyone' s fun.,5,144707500
190,ever,Now flash your teeth,Not like a grimace but more relaxed...,Now pull the sides of your mouth ever ever closer to the ears...,And don' t forget to blink your eyes,4,100264634
191,something,Hello?,Who' s this?,- Somebody from something something.,- Okay.,9,131836210
192,friend,This guy' s your girl' s best friend?,No.,"I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.",You ought to golf yourself.,6,154527125
193,friend,This guy' s your girl' s best friend?,No.,"I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.",You ought to golf yourself.,6,154527125
194,something,Hello?,Who' s this?,- Somebody from something something.,- Okay.,9,131836210
195,friend,This guy' s your girl' s best friend?,No.,"I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.",You ought to golf yourself.,6,154527125
