19	nothing	Nothing in the world will keep The count from his beloved bride	Nothing in the world Nothing in the world	Nothing Nothing	What a marvelous day for a marriage.
20	montgomery	And it did so with two musical notes.	Hello.	I am looking for Dr. Montgomery Montgomery.	I am Stephano.
21	nothing	Nothing in the world will keep The count from his beloved bride	Nothing in the world Nothing in the world	Nothing Nothing	What a marvelous day for a marriage.
22	laba	Paralyzed, like stone, for two days.	- What do you call this fella?	- Laba laba batu.	Stone spider.
23	mat	We gots to get paid.	And on that note, we cue the music.	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la
24	mat	And on that note, we cue the music.	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum
25	mat	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum	- Mat mat meal - Ma ma ma, ma ma- ma ma
26	mat	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum	- Mat mat meal - Ma ma ma, ma ma- ma ma	Well...
27	shoop	La da da da da da	He really is high, man	Shoop shoop shooby doo wah	Get jiggy with it
28	mat	We gots to get paid.	And on that note, we cue the music.	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la
29	mat	And on that note, we cue the music.	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum
30	mat	- Mat mat mat - L- L- lum	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum	- Mat mat meal - Ma ma ma, ma ma- ma ma
31	mat	- Mat mat mat - Lip la	- Mat mat mat - L- L- lum	- Mat mat meal - Ma ma ma, ma ma- ma ma	Well...
32	shoop	Are you really high now, man?	La da da da da da he really is high, man	Shoop shoop shooby doo wah	Getjiggy with it
33	thing	<i>[ Thing OneJabbering] </ i>	Thing One says he' s Thing One for a reason, and some people should just get used to it.	It' s a Thing thing.	You wouldn' t understand.
34	really	I' d like to sing, a song for you.	Ok, I' il restart again.	I love her, I really really love her.	Make me smile, all the time.
35	now	I won' t!	I won' t.	Now now, calm down.	Listen to Uncle Michael.
36	mirror	I' il help you	Complete the spell, my sweet new prince..	Mirror mirror on the wall..	Say it
37	anytime	As a consolation, I never believed in you either	See, you' re brothers	You' re welcome here anytime Anytime at all	Cos this is your home
38	then	- We must do something. - nothing will become.	At moments thus, the Magical world he hopes that their leaders are strong.	- Then then, demuéstralo. - the Match is not going away to cancel.	I will not stay as a cowardly one.
39	miss	Sorry	Do you know who I am?	Miss Miss Phoenix Black, I' m sorry	Do you know how often I shop here...
40	later	I just have to be patient	Excuse me a sec	See you later Later	David?
41	shimmy	The swelling should help them fit better.	Hey, get a load of this guy.	Shimmy shimmy.	Hey, hey, hey.
42	kitty	Power, my boy, means never having to say you' re sorry.	Here, kitty kitty kitty.	Come here, kitty kitty.	Yes.
43	really	- ls that a shark?	It is a shark.	They' re really really mad at us.	They thought that this river was the ocean.
44	really	I don' t want to ruin my diet.	It' s cold in the supermarket, and you like it like that.	People always read the labels of their favourite brands really really carefully just to see how many chemicals they have, and then they just sigh and they put them in their cartanyway,	like they' re saying sure it' s bad for me, it' s bad for my family but we like it.
45	love	I' m black.	I want to watch Love Connection.	I love Love Connection.	I love that man on there.
46	love	That' s Arsenio.	So?	You love Love Connection, send your picture in there.	She did.
47	boomm	I wnote a song about mmy expeniences.	# Wlen you stop at tle top of a Fennis wleel... #	"I got it to Fneddy ""Boomm Boomm"" Cannon... tlnougl mmy fniendslip witl Dick Clank."	Dick neally wanted to lelp mme out.
48	gene	MAN:	Wloo:	That means... it' s Gene Gene, the Dancing Machine... and just in time:	[Gene' s dancing music plays]
49	ool	# All oven #	# Tlis land #	# Ool ool ool #	# If I lad a bell #
50	very	I don' t know what he was thinking.	He jumped exactly when the water was receding and he hit his neck against the sand	It' s is very very sad.	God wants him to keep on living.
51	very	I don' t know what he was thinking.	He jumped exactly when the water was receding and he hit his neck against the sand	This is very very sad.	God wants him to keep on living.
52	wait	What if I told you that...	that you give me strength to live Ramon	Wait wait.	Stop this thing for a moment
53	wait	What if I told you that...	that you give me strength to live Ramon	Wait wait.	Stop this thing for a moment
54	big	Based on the true story	I always wanted to be in the movies	When I was Iittle I thought for sure 1 day, I could be a big big star...	Or maybe just beautiful...
55	far	I don' t know... if can forgive myself for...	I' II come back to you, I' II come back	I mean, we come back here and we go far far away	Go
56	big	Based on the true story	I always wanted to be in the movies	When I was Iittle I thought for sure 1 day, I could be a big big star...	Or maybe just beautiful...
57	far	I don' t know... if can forgive myself for...	I' II come back to you, I' II come back	I mean, we come back here and we go far far away	Go
58	big	Based on the true story	I always wanted to be in the movies	When I was Iittle I thought for sure 1 day, I could be a big big star...	Or maybe just beautiful...
59	far	I don' t know... if can forgive myself for...	I' II come back to you, I' II come back	I mean, we come back here and we go far far away	Go
60	yum	They' re out of sight.	I' m into comics myself.	Big Yum Yum Book.	I' d never seen anything like it.
61	yum	I' m into comics myself.	So Crumb showed me this comic book novel he was working on.	Big Yum Yum Book.	I' d never seen anything like it.
62	back	Yeah I er, I went for a run.	You smell like you ran far.	Well I showered, I mean I guess I didn' t cool, I wanted to get back back down here and check on you, it was a Tour de Stad.	What?
63	very	W at that time was just starting out in the world as a business man.	Because he' s a guy who¡ ¯s always tried to emulate his father, uh, he decided to go into the oil business.	He founded an oil company, a drilling company, out of west Texas called Arbusto, which was very very good at drilling dry holes that nothing came out of.	But the question has always been where did this money come from?
64	very	It' s like training a dog; ya tell him to sit down or ya tell him to roll over at the same time, the dog doesn' t know what to do.	Well the American people are being treated like that.	It was really very very skillfully and, and ugly in what they did.	We must stop the terror.
65	very	That' s the case, for example with Microsoft.	So no wonder the support is so bad.	The benefits of Free Software were tremendous but the cost of supporting it internally uh, and made managers very very nervous and so the fundamental idea I had was if we can build a model that could deliver two to four times the support and uh, and uh, and hand holding capability that an internal engineer could provide.	And we could do it at 1/ 2 to 1/ 4 of the cost that would meet the test of whether or not people would actually buy.
66	city	Right and so we had maps there and we handed them off everybody who was coming.	Well, we actually met at a Denny' s That' s just outside the Foster City limits...	"Foster City city limits, which meant also just outside of Foster City Police jurisdiction, which meant any, any incidents that happened at the meeting point happened in the jurisdiction of San Mateo, and if they told us they get lost, we' d say, ""Fine, we are going to Foster city."	"Bye. """
67	very	If you don' t share, you get thrown in jail or killed.	In 1990, we got a visit from a director of an institute in uh, Moscow University, and actually I saw him in Helsinki just 2 weeks ago, but in any event, he came by, and Richard Stallman had suggested that he visit Cygnus, because he was interested in and understanding how the Free Software model... might apply to stimulating entrepreneurial innovation in Russia of all places, and we had been kind of secretive about our business plan, because you know, we were' nt really sure it' s gonna work, we didn' t want to look too stupid if it failed.	But I was very very open with him.	"The more I told him, the more he started to shake his head like this, and I finally said, you know, ""What' s wrong?"""
68	very	That' s the purest style and that' s the style that Joe and I had climbed Siula Grande.	It' s a very committing way of climbing, because you have no line of retreat.	If something goes wrong, it can be very very serious.	There' s no rescue, there' s no helicopter rescue and there' s no other people.
69	very	And to put an element of risk back into it takes us out of the humdrum.	In that sense, it makes you feel more alive.	I' ve never been that high before, and it' s very very strenuous to climb ice like that.	Not only is it technically difficult and unstable and frightening, but your heart is going like crazy because of the altitude.
70	very	And I' d be looking and trying to push the thing in, and using my teeth, and getting it round, and getting it round.	My hands were cold, my feet were...	I was very very cold.	It was a desperate position, made worse by the fact that that I had no idea what Joe was doing, or what position he was in.
71	very	I was pretty surprised to be alive.	The head torch beam just went down, and down, and down, and the darkness just ate it, just gone.	I felt very unnerved, very very vulnerable.	If I had landed less than 1m further to the right,
72	very	I started to go down the glacier on my own.	In this stage I was still certain that I was gonna die myself.	Crossing a glacier is very very dangerous on your own, because there are crevices in the ice, and the snow covers them.	Fortunately I managed to find a faint outline of our tracks, from when we walked in.
73	attack	I never felt angry at my dad.	My dad had nothing to do with this.	Someone knocks on the door and accuses you for a crime you didn' t commit you gotta attack attack your attackers and do what you can.	And that' s all it was.
74	fuck	Jesse' s gonna go to jail for the rest of his life.	Seth is gonna move west.	Fuck fuck.	I received a telephone call from jesse asking to see me and jesse told me that he wanted to plead guilty.
75	bent	I can' t... it' s bent.	It' s meant to be bent.	I know that but this one' s bent bent.	It' s bloody cold in here.
76	run	# FLANAGAN & ALLEN:	Run Rabbit Run	# Run run run	# Run rabbit run rabbit Run run run
77	run	Run Rabbit Run	# Run run run	# Run rabbit run rabbit Run run run	Shall we go back and kill him?
78	run	Cuthbertson! >	Sorry, Sergeant.	# So run rabbit Run run run. #	You don' t have to tell me if you don' t want to.
79	tin	Ren, Stimpy.	Stimpy?	Rin Tin Tin.	Dre:
80	tin	Rin Tin Tin.	Dre:	Rin Tin Tin...	Rin...
81	mmm	To hip- hop.	# Time after time #	# Mmm mmm... #	# Mmm mmm... #
82	mmm	# Time after time #	# Mmm mmm... #	# Mmm mmm... #	Wait.
83	sing	Dr. Sobel, you received a call this morning from Paul Vitti.	Why would you say that I got a call from Paul Vitti?	Because we monitor all his phone calls from Sing Sing.	Then, yes, I did.
84	sing	Okay...	Based on his symptoms and his test results, I would call it brief psychotic disorder...... and if it persists, schizophreniform disorder.	And Dr. Kassam, the psychiatrist at Sing Sing, concurs with the diagnosis.	So he' s crazy.
85	sing	That' s what I wanted.	You told me I can' t.	You said it' s either here or Sing Sing.	I' m not trying to punish you, but I do have some responsibilities.
86	sing	I mean, what' s next?	Do you go on the run for the rest of your life?	Do you just go back to Sing Sing?	Or maybe they find you dead in an alley?
87	hip	Men!	We' re seaworthy again.	Hip hip hip...	- Hurrah.
88	hip	Hip hip hip...	- Hurrah.	Hip hip hip...	- Hurrah.
89	hip	Watch out!	By Toutatis, I know he fell...... in a cauldron of magic potion...... but he' il never cease to amaze me.	Hip hip hip... hurrah...	- Stop it.
90	sing	Dr. Sobel, you received a call this morning from Paul Vitti.	Why would you say that I got a call from Paul Vitti?	Because we monitor all his phone calls from Sing Sing.	Then, yes, I did.
91	sing	Okay...	Based on his symptoms and his test results, I would call it brief psychotic disorder...... and if it persists, schizophreniform disorder.	And Dr. Kassam, the psychiatrist at Sing Sing, concurs with the diagnosis.	- So he' s crazy.
92	sing	That' s what I wanted.	You told me I can' t.	You said it' s either here or Sing Sing.	I' m not trying to punish you, but I do have some responsibilities.
93	sing	I mean, what' s next?	Do you go on the run for the rest of your life?	Do you just go back to Sing Sing?	Or maybe they find you dead in an alley?
94	really	Whenever I get a good idea, I write it down in my diary before it goes out of my head.	And you know what occurred to me?	The other day... that... all the really really knock- out acts have something a little different going on, you know?	Like, a signature band.
95	maybe	"And I thought my thing could be.. ""aloof""... you know?"	Give them just enough to get them good and hungry but always leave them wanting more.	Once I get a name for myself, maybe maybe we can open up a club of our own, you know?	You could run it, and I could be the headliner.
96	omega	I certainly hope so, Mr. Wilder.	I come to you in desperation.	I' m Panos Patakos, president of the Lambda Omega Omega fraternity.	I' m sure you' re aware of our... stigma.
97	omega	- Okay.	Where the hell is everyone?	Mad props for this pimpin 'good time... go out to those hung and handsome bad boys... of Lambda Omega Omega.	Thanks for the good time, fellas.
98	happy	Yes, I understand it was a funeral.	I guess I goofed up.	I can see how a happy happy- birthday basket...... might seem ironic and cruel, but it was an honest mistake.	It' s not that easy running a small- sized business out of a house...... especially this house!
99	hope	Your son is a born leader.	Those people out there are following him because they believe in him.	They believe he can give them hope hope of a new life, a new world, a better future!	Who' s that?
100	very	So it' s back,,, Whoa,,,	Harder than it looks, isn' t it, gentlemen?	Well, you' ve all done very very well for your first lesson,	And before you leave tonight,
101	very	Whoa...	Harder than it looks, isn' t it, gentlemen?	Well, you' ve all done very very well for your first lesson.	And before you leave tonight,
102	temptation	- Ooh, give me a breakdown - Temptation	- Because it' s time for a showdown - Temptation	Temptation, Temptation Temptation	Oh, oh- oh- oh
103	digi	So find the feelin '	So find the feelin '	Bom Digi Digi Digi Bom Digi Bom	Lifestyle Letting Agency.
104	many	And I have to thank my husband	He gave me chance to act	We had rehearsed many many times	So, this award is yours too
105	very	Whoa...	Harder than it looks, isn' t it, gentlemen?	Well, you' ve all done very very well for your first lesson,	And before you leave tonight,
106	gold	What can stop that itchin '	Ain' t around the kitchen	Gold, gold Gold, gold	Gold
107	circus	In fucking Vegas!	Not on no side street, the motherfucker got shot on the Strip!	In front of Circus Circus!	Damn.
108	ray	Ooh!	Hello, ma' am.	My name is Ray Ray and I' m here to... service you.	I' m Sylvia, and I hit my head.
109	ray	Sex addicts are everywhere, Sylvia, and pretty soon, Harford Road will be ours.	Oh, hey, hold on.	Ray Ray is a sexual healer.	Come visit us, Sylvia.
110	ray	Taxi!	Taxi!	Ray Ray' s service center, 6630 Harford Road.	Yes, ma' am.
111	ray	What is she talking about, that bitch?	Hello?	Ray Ray?	It' s me, Sylvia.
112	ray	Dirt worship' s been around long before my accident.	I just didn' t know.	Ray Ray has helped me understand my hypersexuality.	And he cured me of my herpes.
113	ray	As you grow to embrace your concussion, you' il learn to accept anything sexual as long as it' s safe, consensual and doesn' t harm others.	You wanna powder my chafed butt?	Uh, I would, but I' m supposed to help Ray Ray think up a new sex act.	Maybe later.
114	ray	I can...	I know you are and we' re gonna do something about that.	Ray Ray is a sex saint,	- and he' s got powers.
115	ray	- Amen to that.	I' ve got a hard- on of gold, and my tongue is on fire.	Oh, and I' ve got hot pants, Ray Ray.	We' re all in heat.
116	ray	Thank you for asking.	Oh, my God!	You have met Ray Ray.	Oh, Mother!
117	ray	I' m supposed to help them.	It will pass, Sylvia.	No, there' s this guy named Ray Ray and he is their leader and he ate me out.	Ugh!
118	ray	Fucking tranquilizers.	It' s all right.	Ray Ray is gonna be all better, right?	You betrayed me.
119	ray	Get out.	This is a Neuter establishment.	We don' t serve Ray Ray' s people here.	Don' t get a breast reduction, Ursula.
120	ray	There is somebody for everybody.	- That means you!	- Ray Ray!	Straight, gay or bi, there' s a new sex act just waiting for you.
121	ray	Ooh- oh!	"The big ""O."""	Do it for us one more time, Ray Ray.	Now, Ray Ray, now!
122	ray	"The big ""O."""	Do it for us one more time, Ray Ray.	Now, Ray Ray, now!	Now!
123	walterl	And why...?	Why...?	Walterl Walterl And why did everyone just automatically listen to that Mike person?	And why, why was everyone just standing there?
124	anything	Julie, focus.	What do you want more than anything in this world?	Anything anything?	Ultimate anything.
125	plan	I don' t -- I don' t have a plan.	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!
126	plan	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!	You are too!
127	very	Yeah... I was that good, as a child	So if you could stick around for a minute...	I' m pretty sure you could make the Iadies very very happy 1 slice of cake for her...	I can do that...
128	doo	You are on.	- I' m on right now?	I don' t believe you. - § Doo doo doo. § - Ron!	Oh, come on.
129	alone	You' ve never been alone.	On Christmas, it' s not like being alone.	It' s alone alone.	This wouldn' t be one of those lucid moments.
130	haw	It looks like Sally is going to catch her bell in favour of the president.	I' m Christi, TBNN News	Haw haw... you baby, you going down!	So, what do you think?
131	urt	I like 3 ¡3 isn' t healthy	What' s yielding you Yielding me?	Yes, somehow you seem Urt Urt, Really?	- Really
132	sally	It' s brilliant, sir	Thank you and I get the girl.	Sally Sally, right	Sally, hey, hi, I' m here
133	sing	Grandma Fung- Yu.	Yeah.	And Sing Sing, XiXi' s mother.	All right.
134	sing	And XiXi' s mama, sexy thing.	- Oh.	- Sing Sing.	Yeah.
135	thing	- Grandma Egg Foo Yong?	Fung- Yu, dawg.	Sexy thing, Miss Thing Thing.	Sing Sing!
136	sing	Fung- Yu, dawg.	Sexy thing, Miss Thing Thing.	Sing Sing!	[Muttering in Chinese]
137	sing	Grandma Kung Fu.	Sexy Thing.	Sing Sing.	Sing Sing.
138	sing	Sexy Thing.	Sing Sing.	Sing Sing.	- Bling Bling.
139	sing	- All right.	Let' s eat.	Sing Sing, these Peking duck feet is the shit!	You no like my cooking?
140	gus	Just so you know, that' s incredibly hot.	Oh, I' m sorry.	Oh, hi, Gus Gus.	Gus Gus.
141	gus	Oh, I' m sorry.	Oh, hi, Gus Gus.	Gus Gus.	So much of you they had to name you twice.
142	gus	You know what?	I' m tired of living my life just in theory.	- I think I' m gonna go talk to Gus Gus.	- Oh, come on.
143	gunther	You can' t seriously be attracted to that walking...... Alp.	I don' t know.	I can see myself in the mountains, raising children...... little Hans Hans and Gunther Gunther.	Anna, don' t.
144	gus	Okay, all right.	Because...... I' m jealous as hell.	I' d hate to see you with Gus Gus.	I' d hate to see you with another man.
145	plan	I don' t have a plan.	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!
146	plan	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!	You are too!
147	bright	Actually...	L think I did.	 ~ Gonna be a bright Bright sunshiny day	Whoo! ~ Gonna be a bright Bright sunshiny day
148	bright	L think I did.	[Tim] ~ Gonna be a bright Bright sunshiny day	Whoo! ~ Gonna be a bright Bright sunshiny day	- Timmy!
149	campagin	Don' t get up.	Handy£¬get the hell out of here	Sally, I have to run a campagin Campagin£¿ You make a fool yourself.	Wow, welcome to politics discreetly£¬discreetly
150	haw	It looks like Sally is going to catch her bell in favour of the president.	I' m Christi£¬TBNN News	Haw haw... you baby, you going down!	So£¬what do you think?
151	urt	I like 3£ ¡3 isn' t healthy	What' s yielding you£ ¿Yielding me?	Yes, somehow you seem Urt Urt£¬Really?	- Really
152	sally	It' s brilliant, sir	Thank you and I get the girl.	Sally Sally£¬right	Sally£¬hey, hi, I' m here
153	pum	Let' s follow it.	# Come, they told me, # par um pa pa pa pum	# A new born King to see, # par um pa pum pum	No, Saint Maureen.
154	chltty	Yes.	I' d like to report a robbery.	"AVN BEST PlCTURE 1999 ""CHlTTY CHlTTY GANG BANG"""	HUGO POSH PRODUCER
155	gus	Just so you know, that' s incredibly hot.	Oh, I' m sorry.	Oh, hi, Gus Gus.	Gus Gus.
156	gus	Oh, I' m sorry.	Oh, hi, Gus Gus.	Gus Gus.	So much of you they had to name you twice.
157	gus	You know what?	L' m tired of living my life just in theory.	- I think I' m gonna go talk to Gus Gus.	- Oh, come on.
158	gunther	You can' t seriously be attracted to that walking...... Alp.	L don' t know.	L can see myself in the mountains, raising children...... little Hans Hans and Gunther Gunther.	Anna, don' t.
159	gus	Okay, all right.	Because...... l' m jealous as hell.	L' d hate to see you with Gus Gus.	L' d hate to see you with another man.
160	sing	Grandma Fung- Yu.	Yeah.	And Sing Sing, XiXi' s mother.	All right.
161	sing	And XiXi' s mama, sexy thing.	- Oh.	- Sing Sing.	Yeah.
162	thing	- Grandma Egg Foo Yong?	Fung- Yu, dawg.	Sexy thing, Miss Thing Thing.	Sing Sing!
163	sing	Fung- Yu, dawg.	Sexy thing, Miss Thing Thing.	Sing Sing!	- Bling Bling.
164	sing	Grandma Kung Fu.	Sexy Thing.	Sing Sing.	Sing Sing.
165	sing	Sexy Thing.	Sing Sing.	Sing Sing.	- Bling Bling.
166	sing	- All right.	Let' s eat.	Sing Sing, these Peking duck feet is the shit!	You no like my cooking?
167	plan	I don' t have a plan.	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!
168	plan	Yes, you do!	You' re on the non- plan plan.	I am not on a non- plan plan!	You are too!
169	doo	- I' m on right now?	I don' t believe you. -?	Doo doo doo.?	- Ron!
170	anything	Julie, focus.	What do you want more than anything in this world?	Anything anything?	Ultimate anything.
171	smack	Just when I oughta say nix	When a person tries to kiss a girl	I know she oughta give his face a smack Smack.	[Low <i>V</ i>oice]
172	doo	- You are on.	- I' m on right now?	I don' t believe you. - # Doo doo doo. # - Ron!	Oh, come on.
173	very	- Very.	Would you rather I continued as a watcher or a witness?	Very very.	Now tell us why you did it, okay?
174	dirty	I knew all along why your hair smells of poo but I kept quiet 'cause I thought you were different and that under your dirt, you deserved to be... clean.	But you' re like all of your tribe.	Dirty Dirty!	Wait!
175	dirty	I could have pok...	What' s Dungface doing here?	You called my daughter a dirty Dirty!	Nobody does that!
176	dirty	You called my daughter a dirty Dirty!	Nobody does that!	Nobody calls my girl a dirty Dirty.	Proud of yourself?
177	get	Yes.	95 pound of Chinese finest manmade, with $160 millions behind this door.	Lets get get' em out.	Yeah.
178	there	how do you save the forest anyway? it' s not gonna be easy	I assume the lumber companies have a lot of crowd but I do know a few endangered species living in the forest who definitely have lost the protective how am I gonna find how many endangered animals living in the forest you can ask Eugine we find the endangered species the females killed by the poachers it' s the only western Pacific bear at least one bear has to be protected, right?	let the lawyer of the logging company argue this since she is the only up there there' s no chance for survival anyway there had to be a male too so we get a male up there and let them together	let nature take its course the only male western Pacific bear we can find is raised in captivity never has a bear raised in captivity been successfully reintroduced to the wild they never have a world famous doctor make an introduction your man left the button open something wrong?
179	weird	hey Acher come over here	I think we can work it out what do I say to her? tell her a little more about yourself tell her a little more about yourself	I like walking on the beach and sharing pop corns with someone and also the sound of back street boys you' re weird weird?	Isn' t sexy
180	out	One day all the sources in town dried out.	In those days there lived a dragonking and a woman.	The let the sources drie out out of revenge.	Nobody dared fight the dragons... but Kao lang volunteered.
181	sing	"Crushed when he caught his wife cheating, he' s feeling older, he looks around and says ""Maybe it' s time I get mine."""	Guy named Peterson tried the same.	Now he' s a houseguest in Sing Sing.	I' m sure you know him better than I do.
182	hot	It' s a hot dog.	It' s a hot dog.	It' s a hot hot dog.	It' s a hot dog.
183	louie	(captain) Please put your seats to the upright position..... in preparation for our arrival in Puerto Vallarta.	"(""Louie Louie"" by The Kingsmen)"	Louie Louie	Oh, no
184	something	Okay, maybe I wasn t allowed on the property, but that didn' t mean I couldn t keepan eye on her	And then she did something that sent me over the edge	I knew I had to do something something drastic to salvage what little I had left	I got the ten thousand.
185	squash	You bet!	Because I need a partner tomorrow at 5: 00.	- Oh, squash squash!	- You know.
186	something	Okay, maybe I wasn t allowed on the property, but that didn' t mean I couldn t keepan eye on her	And then she did something that sent me over the edge	I knew I had to do something something drastic to salvage what little I had left	I got the ten thousand.
187	woo	Bloody English wizards.	They cannot do anything right.	Woo woo.	Ah, here we go.
188	woo	Woo woo.	Ah, here we go.	Woo woo.	I like your chariot.
189	party	Will you?	Hm?	Oh, you mean a party party?	Like for everyone' s fun.
190	ever	Now flash your teeth	Not like a grimace but more relaxed...	Now pull the sides of your mouth ever ever closer to the ears...	And don' t forget to blink your eyes
191	something	Hello?	Who' s this?	- Somebody from something something.	- Okay.
192	friend	This guy' s your girl' s best friend?	No.	I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.	You ought to golf yourself.
193	friend	This guy' s your girl' s best friend?	No.	I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.	You ought to golf yourself.
194	something	Hello?	Who' s this?	- Somebody from something something.	- Okay.
195	friend	This guy' s your girl' s best friend?	No.	I mean, I like to consider myself her best friend...... but Andrew is her best friend friend, if that makes any sense.	You ought to golf yourself.
196	business	Mm.	Erm...	Listen, why don' t I give you a lift and then we can talk about this state business business in the car.	OK.
197	cher	- lt´s called Honey and the Beaze.	Cher plays Honey, I have the role of Mack Beasley.	- Cher Cher?	- One of the nicest women.
198	hunka	- There' s gotta be a card...	- Is that Michael?... for a redhead from...	- I can' t see.... a newly smitten hunka hunka burning love.	I mean...
199	weird	I don' t know.	She' s being weird.	Normal weird, or weird weird?	- She found this.
200	electricity	But nuclear power is supposed to be very stable.	Yes, I suppose it is.	But isn' t electricity electricity?	Whether it comes from nuclear power or water power?
201	have	You shouldn' t have to wake up day after day after that, trying to understand how in the world you didn' t know.	The light just never went on, you know.	I must have have known, of course, but I was too scared to see the truth.	Then fear just makes you so stupid.
202	night	Airplane into the hangar.	Zzz -- ow!	AII right, pumpkin, night night.	'Night, Mom.
203	zip	<i>You my electrical lip balm flava </ i>	<i>I gotta do ya till</ i> <i>the next song saves ya </ i>	<i>Can I get a little zip zip</ i> <i>Looky, looky </ i> 	<i>Maybejust a little uh</ i>- <i>uh </ i> <i>Looky, looky </ i>
204	hunka	For a redhead from...	- I can' t see.	A newly smitten hunka hunka burning love.	I mean...
205	something	Hello?	Who' s this?	- Somebody from something something.	- Okay.
206	lambda	Yeah.	Everybody except for...	Lambda Lambda Lambda.	Here' s one that will see us.
207	lambda	Lambda Lambda Lambda.	Here' s one that will see us.	 Lambda Lambda Lambda?	Yeah.
208	lambda	# (Betty) We prefer your high lQs	# To their great big... jocks	# Lambda Lambda Lambda boys	# Really are the best
209	lambda	# Won' t you take a piece of Pi?	# And we' il do the rest	The sisters of Pi welcome our newest fraternity, Lambda Lambda Lambda.	We' d like to be escorts to your party Saturday night and help out in any way possible.
210	lambda	Poindexter, do you wanna fuck or not?	- (she roars) - Agh!	You know, if we get into Lambda Lambda Lambda, we could be partners in the homecoming carnival.	- That' d be so great.
211	lambda	# Old MacDonald had a farm	# E- l- E- l- O (jeering)	We' il never get into Lambda Lambda Lambda now.	Those jocks ruined everything.
